time,acc_x,acc_y,acc_z,time,gyro_x,gyro_y,gyro_z
10,-1.644,6.89,6.878,10,-0.174,0.034,-0.1
20,-1.6,6.766,6.942,20,-0.184,0.032,-0.106
30,-1.588,6.634,6.934,30,-0.196,0.03,-0.114
40,-1.528,6.544,6.95,40,-0.214,0.024,-0.124
50,-1.512,6.484,6.968,50,-0.226,0.014,-0.128
60,-1.554,6.464,6.92,60,-0.212,0.006,-0.138
70,-1.616,6.522,6.876,70,-0.17,0,-0.146
80,-1.594,6.572,6.936,80,-0.134,-0.002,-0.15
90,-1.598,6.588,6.894,90,-0.122,-0.004,-0.154
100,-1.588,6.654,6.908,100,-0.126,-0.012,-0.164
110,-1.61,6.682,6.924,110,-0.134,-0.016,-0.174
120,-1.648,6.618,6.884,120,-0.144,-0.02,-0.182
130,-1.618,6.518,6.852,130,-0.156,-0.026,-0.186
140,-1.592,6.438,6.788,140,-0.166,-0.026,-0.196
150,-1.556,6.438,6.806,150,-0.164,-0.026,-0.206
160,-1.514,6.476,6.886,160,-0.154,-0.026,-0.21
170,-1.538,6.524,6.87,170,-0.138,-0.026,-0.218
180,-1.564,6.554,6.882,180,-0.116,-0.026,-0.218
190,-1.546,6.558,6.908,190,-0.09,-0.018,-0.224
200,-1.564,6.544,6.876,200,-0.072,-0.006,-0.228
210,-1.582,6.538,6.95,210,-0.072,-0.002,-0.236
220,-1.566,6.486,6.966,220,-0.09,-0.002,-0.246
230,-1.554,6.418,6.966,230,-0.118,-0.004,-0.254
240,-1.586,6.356,6.95,240,-0.144,-0.008,-0.264
250,-1.612,6.33,6.954,250,-0.17,-0.008,-0.272
260,-1.62,6.356,6.962,260,-0.186,0,-0.282
270,-1.638,6.378,6.97,270,-0.198,0.028,-0.29
280,-1.664,6.492,6.958,280,-0.206,0.084,-0.302
290,-1.756,6.552,6.936,290,-0.226,0.124,-0.306
300,-1.8,6.572,6.986,300,-0.264,0.146,-0.314
310,-1.848,6.58,6.966,310,-0.294,0.182,-0.33
320,-1.878,6.56,6.982,320,-0.29,0.212,-0.346
330,-1.858,6.586,7.008,330,-0.252,0.244,-0.368
340,-1.886,6.592,6.942,340,-0.192,0.29,-0.4
350,-1.892,6.654,6.89,350,-0.12,0.342,-0.43
360,-1.972,6.766,6.96,360,-0.048,0.386,-0.448
370,-2.106,6.922,6.996,370,0.018,0.422,-0.468
380,-2.158,7.028,6.984,380,0.07,0.452,-0.476
390,-2.22,6.99,6.906,390,0.122,0.468,-0.492
400,-2.268,6.954,6.754,400,0.188,0.486,-0.502
410,-2.212,6.974,6.76,410,0.264,0.492,-0.506
420,-2.206,7.048,6.684,420,0.36,0.48,-0.508
430,-2.254,7.064,6.576,430,0.474,0.458,-0.502
440,-2.314,7.058,6.428,440,0.604,0.42,-0.482
450,-2.294,7.02,6.292,450,0.756,0.368,-0.46
460,-2.24,6.902,6.084,460,0.908,0.302,-0.444
470,-2.144,6.788,5.848,470,1.02,0.224,-0.434
480,-2.004,6.518,5.638,480,1.078,0.14,-0.42
490,-2.014,6.276,5.486,490,1.124,0.038,-0.402
500,-2.062,6.044,5.376,500,1.17,-0.086,-0.37
510,-2.164,5.74,5.124,510,1.194,-0.218,-0.346
520,-2.23,5.414,4.928,520,1.208,-0.35,-0.342
530,-2.244,5.232,4.936,530,1.22,-0.444,-0.338
540,-2.348,5.27,4.86,540,1.22,-0.576,-0.3
550,-2.464,5.384,4.908,550,1.292,-0.73,-0.296
560,-2.536,5.438,4.986,560,1.408,-0.826,-0.274
570,-2.61,5.444,4.952,570,1.554,-0.918,-0.248
580,-2.58,5.502,4.964,580,1.73,-0.998,-0.234
590,-2.556,5.724,4.986,590,1.846,-1.02,-0.19
600,-2.444,5.972,5.37,600,1.844,-1.07,-0.164
610,-2.572,5.662,5.548,610,1.784,-1.134,-0.17
620,-2.754,5.498,5.372,620,1.684,-1.196,-0.188
630,-2.516,5.692,5.65,630,1.54,-1.29,-0.196
640,-2.518,5.79,5.638,640,1.458,-1.4,-0.21
650,-2.534,6.02,5.8,650,1.522,-1.482,-0.184
660,-2.086,6.334,6.42,660,1.714,-1.514,-0.184
